"Subject","Condition","VbType_Cond","ClozeScore","Group","quant05","quant50","quant95","nbIterations"
"43.P_V","Baseline","P_V.Baseline",20,"L2",-0.265724695644505,-0.265724695644505,-0.265724695644505,500
"44.M_V","Baseline","M_V.Baseline",26,"L2",-4.93845137486959e-05,-4.93845137486959e-05,-4.93845137486959e-05,500
"44.P_V","Baseline","P_V.Baseline",26,"L2",-0.324662764736631,-0.324662764736631,-0.324662764736631,500
"45.M_V","Manner","M_V.Manner",29,"L2",-0.0913635221977827,-0.0913635221977827,-0.0913635221977827,500
"46.P_V","Path","P_V.Path",23,"L2",-0.207243807343683,-0.207243807343683,-0.207243807343683,500
"47.M_V","Manner","M_V.Manner",26,"L2",-0.0180430614299103,-0.0180430614299103,-0.0180430614299103,500
"48.M_V","Baseline","M_V.Baseline",34,"L2",0.000927998367260985,0.000927998367260985,0.000927998367260985,500
"48.P_V","Baseline","P_V.Baseline",34,"L2",-0.301653820928215,-0.301653820928215,-0.301653820928215,500
"49.M_V","Manner","M_V.Manner",25,"L2",-0.0314845736617686,-0.0314845736617686,-0.0314845736617686,500
"5.M_V","Manner","M_V.Manner",30,"L2",-0.0646246507426238,-0.0646246507426238,-0.0646246507426238,500
"50.M_V","Baseline","M_V.Baseline",31,"L2",-0.000885720359271813,-0.000885720359271813,-0.000885720359271813,500
"50.P_V","Baseline","P_V.Baseline",31,"L2",-0.151841949563065,-0.151841949563065,-0.151841949563065,500
"51.P_V","Path","P_V.Path",30,"L2",-0.0146124628960773,-0.0146124628960773,-0.0146124628960773,500
"52.M_V","Manner","M_V.Manner",12,"L2",-0.1467335418737,-0.1467335418737,-0.1467335418737,500
"53.P_V","Path","P_V.Path",28,"L2",-0.25226345744067,-0.25226345744067,-0.25226345744067,500
"54.M_V","Baseline","M_V.Baseline",20,"L2",0.0125716772983427,0.0125716772983427,0.0125716772983427,500
"54.P_V","Baseline","P_V.Baseline",20,"L2",-0.191947375312066,-0.191947375312066,-0.191947375312066,500
"55.M_V","Manner","M_V.Manner",26,"L2",-0.0492071680567122,-0.0492071680567122,-0.0492071680567122,500
"56.M_V","Baseline","M_V.Baseline",23,"L2",0.00552525604418974,0.00552525604418974,0.00552525604418974,500
"56.P_V","Baseline","P_V.Baseline",23,"L2",-0.101913011778375,-0.101913011778375,-0.101913011778375,500
"57.P_V","Path","P_V.Path",12,"L2",-0.120719247372682,-0.120719247372682,-0.120719247372682,500
"58.M_V","Manner","M_V.Manner",31,"L2",-0.0424651272518624,-0.0424651272518624,-0.0424651272518624,500
"59.M_V","Baseline","M_V.Baseline",36,"L2",0.00552529111066213,0.00552529111066213,0.00552529111066213,500
"59.P_V","Baseline","P_V.Baseline",36,"L2",-0.101912954962232,-0.101912954962232,-0.101912954962232,500
"6.P_V","Path","P_V.Path",27,"L2",-0.107018629103007,-0.107018629103007,-0.107018629103007,500
"60.M_V","Manner","M_V.Manner",34,"L2",-0.0735964889193899,-0.0735964889193899,-0.0735964889193899,500
"7.M_V","Baseline","M_V.Baseline",14,"L2",0.0299824700301095,0.0299824700301095,0.0299824700301095,500
"7.P_V","Baseline","P_V.Baseline",14,"L2",-0.0760343373931787,-0.0760343373931787,-0.0760343373931787,500
"8.M_V","Manner","M_V.Manner",20,"L2",-0.0538187807326661,-0.0538187807326661,-0.0538187807326661,500
"9.P_V","Path","P_V.Path",34,"L2",-0.157331321530411,-0.157331321530411,-0.157331321530411,500
