"Subject","Group","Condition","Trial","VideoName","P_V","M_V","ClozeScore","zClozeScore","cClozeScore","PathPrimeV","MannerPrimeV"
"2","L2","Baseline",28,"trm_voitoi",1,0,12,-1.54554530850275,-12.4915254237288,"sube","tira de"
"2","L2","Baseline",29,"pre_pnemai",1,1,12,-1.54554530850275,-12.4915254237288,"entra en","rueda"
"2","L2","Baseline",30,"tgt_cherue",1,0,12,-1.54554530850275,-12.4915254237288,"cruza","arrastra"
"2","L2","Baseline",31,"pre_pnegro",1,0,12,-1.54554530850275,-12.4915254237288,"entra en","rueda"
"2","L2","Baseline",32,"pgd_valcol",1,0,12,-1.54554530850275,-12.4915254237288,"baja","empuja"
"3","L2","Path",1,"prt_rourou",0,0,26,0.186639799805623,1.50847457627119,"cruza","rueda"
"3","L2","Path",2,"trm_voidun",1,0,26,0.186639799805623,1.50847457627119,"sube","tira de"
"3","L2","Path",3,"tgt_cherou",1,0,26,0.186639799805623,1.50847457627119,"cruza","arrastra"
"3","L2","Path",4,"pgd_valnei",1,0,26,0.186639799805623,1.50847457627119,"baja","empuja"
"3","L2","Path",5,"tge_chagro",1,0,26,0.186639799805623,1.50847457627119,"entra en","arrastra"
"3","L2","Path",6,"prt_rourue",1,0,26,0.186639799805623,1.50847457627119,"cruza","rueda"
"3","L2","Path",7,"pge_tabmai",1,0,26,0.186639799805623,1.50847457627119,"entra en","empuja"
"3","L2","Path",8,"trt_pourou",1,0,26,0.186639799805623,1.50847457627119,"cruza","tira de"
"3","L2","Path",9,"pgm_paqtoi",1,0,26,0.186639799805623,1.50847457627119,"sube","empuja"
"3","L2","Path",10,"trd_bronei",1,0,26,0.186639799805623,1.50847457627119,"baja","tira de"
"3","L2","Path",11,"prm_boudun",1,0,26,0.186639799805623,1.50847457627119,"sube","rueda"
"3","L2","Path",12,"pgt_panrou",1,0,26,0.186639799805623,1.50847457627119,"cruza","empuja"
"3","L2","Path",13,"pre_pnegro",1,0,26,0.186639799805623,1.50847457627119,"entra en","rueda"
"3","L2","Path",14,"trm_voitoi",1,0,26,0.186639799805623,1.50847457627119,"sube","tira de"
"3","L2","Path",15,"tgd_malcol",1,0,26,0.186639799805623,1.50847457627119,"baja","arrastra"
"3","L2","Path",16,"pre_pnemai",1,0,26,0.186639799805623,1.50847457627119,"entra en","rueda"
"3","L2","Path",17,"pgd_valcol",1,0,26,0.186639799805623,1.50847457627119,"baja","empuja"
"3","L2","Path",18,"tgt_cherue",1,0,26,0.186639799805623,1.50847457627119,"cruza","arrastra"
"3","L2","Path",19,"prd_balcol",1,0,26,0.186639799805623,1.50847457627119,"baja","rueda"
"3","L2","Path",20,"pge_tabgro",1,0,26,0.186639799805623,1.50847457627119,"entra en","empuja"
"3","L2","Path",21,"prd_balnei",1,0,26,0.186639799805623,1.50847457627119,"baja","rueda"
"3","L2","Path",22,"tge_chamai",1,0,26,0.186639799805623,1.50847457627119,"entra en","arrastra"
"3","L2","Path",23,"prm_boutoi",1,0,26,0.186639799805623,1.50847457627119,"sube","rueda"
"3","L2","Path",24,"trt_pourue",1,0,26,0.186639799805623,1.50847457627119,"cruza","tira de"
"3","L2","Path",25,"tgm_sacdun",1,0,26,0.186639799805623,1.50847457627119,"sube","arrastra"
"3","L2","Path",26,"tre_cadmai",1,0,26,0.186639799805623,1.50847457627119,"entra en","tira de"
"3","L2","Path",27,"pgt_panrue",1,0,26,0.186639799805623,1.50847457627119,"cruza","empuja"
"3","L2","Path",28,"tgm_sactoi",1,0,26,0.186639799805623,1.50847457627119,"sube","arrastra"
"3","L2","Path",29,"tre_cadgro",1,0,26,0.186639799805623,1.50847457627119,"entra en","tira de"
"3","L2","Path",30,"pgm_paqdun",1,0,26,0.186639799805623,1.50847457627119,"sube","empuja"
"3","L2","Path",31,"tgd_malnei",1,0,26,0.186639799805623,1.50847457627119,"baja","arrastra"
"3","L2","Path",32,"pge_tabgro",1,0,26,0.186639799805623,1.50847457627119,"entra en","empuja"
"4","L2","Baseline",1,"prd_balcol",0,0,5,-2.41163786265693,-19.4915254237288,"baja","rueda"
"4","L2","Baseline",2,"tgm_sactoi",0,0,5,-2.41163786265693,-19.4915254237288,"sube","arrastra"
"4","L2","Baseline",3,"pgt_panrue",0,0,5,-2.41163786265693,-19.4915254237288,"cruza","empuja"
"4","L2","Baseline",4,"tgd_malcol",1,0,5,-2.41163786265693,-19.4915254237288,"baja","arrastra"
"4","L2","Baseline",5,"trm_voitoi",0,0,5,-2.41163786265693,-19.4915254237288,"sube","tira de"
"4","L2","Baseline",6,"pge_tabmai",0,0,5,-2.41163786265693,-19.4915254237288,"entra en","empuja"
"4","L2","Baseline",7,"tgd_malnei",0,0,5,-2.41163786265693,-19.4915254237288,"baja","arrastra"
"4","L2","Baseline",8,"prm_boutoi",0,0,5,-2.41163786265693,-19.4915254237288,"sube","rueda"
"4","L2","Baseline",9,"tge_chamai",0,0,5,-2.41163786265693,-19.4915254237288,"entra en","arrastra"
"4","L2","Baseline",10,"prd_balnei",0,0,5,-2.41163786265693,-19.4915254237288,"baja","rueda"
"4","L2","Baseline",11,"pgm_paqdun",0,0,5,-2.41163786265693,-19.4915254237288,"sube","empuja"
"4","L2","Baseline",12,"tgt_cherou",0,0,5,-2.41163786265693,-19.4915254237288,"cruza","arrastra"
"4","L2","Baseline",13,"pre_pnemai",0,0,5,-2.41163786265693,-19.4915254237288,"entra en","rueda"
"4","L2","Baseline",14,"tgm_sacdun",0,0,5,-2.41163786265693,-19.4915254237288,"sube","arrastra"
"4","L2","Baseline",15,"pgd_valcol",0,0,5,-2.41163786265693,-19.4915254237288,"baja","empuja"
