"Subject","Condition","Trial","Word1","Word2","Word3","CorrectChoice","Response","Accuracy"
3,"PathPrimeSentence",22,"una silla","una botella","un aula","1","1","1"
3,"PathPrimeSentence",23,"un hula hoop","un local","un carrito de la compra","3","3","1"
3,"PathPrimeSentence",24,"un armario","un coche de juguete","un pasillo","2","2","1"
3,"PathPrimeSentence",25,"un barril","unos peldaños","un flotador","3","3","1"
3,"PathPrimeSentence",26,"un ascensor","una bicicleta","una pelota inflable","3","3","1"
4,"NoPrime",1,"una habitación","un paquete","un sillón","2","1","0"
4,"NoPrime",2,"una loma","un trineo","una calle","3","3","1"
4,"NoPrime",3,"una mesa","una escalera","un triciclo","1","1","1"
4,"NoPrime",4,"un saco","un vestíbulo","un colchón","1","3","0"
4,"NoPrime",5,"una escuela","un palo","un caballo de juguete","3","1","0"
4,"NoPrime",6,"una papelera","un tejado","unas gradas","2","1","0"
4,"NoPrime",7,"un barril","unos peldaños","un flotador","3","1","0"
4,"NoPrime",8,"una maleta","una pendiente","un plato","1","1","1"
4,"NoPrime",9,"una escalinata","una manta","una cueva","3","2","0"
4,"NoPrime",10,"un cuarto","un tablón","una carretilla","3","3","1"
4,"NoPrime",11,"una colina","un tronco","unos escalones","1","1","1"
4,"NoPrime",12,"un camino","un jardín","un barril","1","1","1"
4,"NoPrime",13,"una plaza","un carrito de bebé","un aro","2","2","1"
4,"NoPrime",14,"un jardín","un cilindro","una colina nevada","3","3","1"
4,"NoPrime",15,"un puente","una duna","una estantería","2","2","1"
4,"NoPrime",16,"una silla","una botella","un aula","1","1","1"
4,"NoPrime",17,"un collado","un patinete","una bala de paja","3","3","1"
4,"NoPrime",18,"una esfera","una sala","un baúl","3","1","0"
4,"NoPrime",19,"un armario","un coche de juguete","un pasillo","2","2","1"
4,"NoPrime",20,"una rueda","una vía","un carro","1","1","1"
4,"NoPrime",21,"un hula hoop","un local","un carrito de la compra","3","1","0"
4,"NoPrime",22,"un ascensor","una bicicleta","una pelota inflable","3","3","1"
4,"NoPrime",23,"una lámpara","un almacén","una rueda de carreta","3","3","1"
4,"NoPrime",24,"un cesto","una cómoda","una parcela","1","1","1"
4,"NoPrime",25,"un cerro","una carretera","una piedra","2","2","1"
4,"NoPrime",26,"un granero","un repecho","un muñeco","1","1","1"
5,"MannerPrimeSentence",1,"un ascensor","una bicicleta","una pelota inflable","3","3","1"
5,"MannerPrimeSentence",2,"una habitación","un paquete","un sillón","2","2","1"
5,"MannerPrimeSentence",3,"un cuarto","un tablón","una carretilla","3","3","1"
5,"MannerPrimeSentence",4,"una loma","un trineo","una calle","3","3","1"
5,"MannerPrimeSentence",5,"una colina","un tronco","unos escalones","1","1","1"
5,"MannerPrimeSentence",6,"un granero","un repecho","un muñeco","1","1","1"
5,"MannerPrimeSentence",7,"un hula hoop","un local","un carrito de la compra","3","3","1"
5,"MannerPrimeSentence",8,"una maleta","una pendiente","un plato","1","1","1"
5,"MannerPrimeSentence",9,"un collado","un patinete","una bala de paja","3","3","1"
5,"MannerPrimeSentence",10,"una escuela","un palo","un caballo de juguete","3","3","1"
5,"MannerPrimeSentence",11,"un barril","unos peldaños","un flotador","3","3","1"
5,"MannerPrimeSentence",12,"una plaza","un carrito de bebé","un aro","2","2","1"
5,"MannerPrimeSentence",13,"una rueda","una vía","un carro","1","1","1"
5,"MannerPrimeSentence",14,"un armario","un coche de juguete","un pasillo","2","2","1"
5,"MannerPrimeSentence",15,"una silla","una botella","un aula","1","1","1"
5,"MannerPrimeSentence",16,"un cerro","una carretera","una piedra","2","2","1"
5,"MannerPrimeSentence",17,"una mesa","una escalera","un triciclo","1","1","1"
5,"MannerPrimeSentence",18,"un jardín","un cilindro","una colina nevada","3","3","1"
5,"MannerPrimeSentence",19,"un cesto","una cómoda","una parcela","1","1","1"
5,"MannerPrimeSentence",20,"un saco","un vestíbulo","un colchón","1","3","0"
5,"MannerPrimeSentence",21,"una lámpara","un almacén","una rueda de carreta","3","3","1"
5,"MannerPrimeSentence",22,"un camino","un jardín","un barril","1","1","1"
5,"MannerPrimeSentence",23,"un puente","una duna","una estantería","2","2","1"
5,"MannerPrimeSentence",24,"una esfera","una sala","un baúl","3","3","1"
5,"MannerPrimeSentence",25,"una escalinata","una manta","una cueva","3","3","1"
5,"MannerPrimeSentence",26,"una papelera","un tejado","unas gradas","2","2","1"
6,"PathPrimeSentence",1,"una escuela","un palo","un caballo de juguete","3","3","1"
6,"PathPrimeSentence",2,"un jardín","un cilindro","una colina nevada","3","3","1"
6,"PathPrimeSentence",3,"un puente","una duna","una estantería","2","2","1"
6,"PathPrimeSentence",4,"un armario","un coche de juguete","un pasillo","2","2","1"
6,"PathPrimeSentence",5,"un saco","un vestíbulo","un colchón","1","1","1"
6,"PathPrimeSentence",6,"una colina","un tronco","unos escalones","1","1","1"
6,"PathPrimeSentence",7,"un ascensor","una bicicleta","una pelota inflable","3","3","1"
6,"PathPrimeSentence",8,"un hula hoop","un local","un carrito de la compra","3","3","1"
6,"PathPrimeSentence",9,"una silla","una botella","un aula","1","1","1"
