"Subject","ClozeScore"
1,29
2,12
3,26
4,5
5,30
6,27
7,14
8,20
9,34
10,7
11,28
12,33
13,10
14,2
15,34
16,29
17,24
18,27
19,18
20,31
21,16
22,26
23,30
24,18
25,26
26,21
27,34
28,20
29,16
30,35
31,30
32,19
33,17
34,3
35,35
36,28
37,27
38,22
39,23
40,33
41,28
42,34
43,20
44,26
45,29
46,23
47,26
48,34
49,25
50,31
51,30
52,12
53,28
54,20
55,26
56,23
57,12
58,31
59,36
60,34
